Year,State,TOTAL_BALLOTS,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2022,South Dakota,"354,670","691,460",1.85%,"2,933","3,744","3,611","10,288","668,380",53.06%,51.29%
2022,Tennessee,"1,756,397","5,508,108",3.53%,"16,590","38,357","12,816","67,763","5,245,909",33.48%,31.89%
2022,Texas,"8,151,590","22,656,456",11.71%,"139,380","236,717","104,277","480,374","19,523,011",41.75%,35.98%
2022,Utah,"1,084,634","2,454,289",6.42%,"5,991",0,0,"5,991","2,290,732",47.35%,44.19%
2022,Vermont,"291,955","531,550",1.60%,0,0,0,0,"523,045",55.82%,54.93%
2022,Virginia,"3,021,956","6,805,250",5.96%,"26,498","39,416","1,917","67,831","6,331,826",47.73%,44.41%
2022,Washington,"3,067,686","6,133,923",8.99%,"13,762",0,0,"13,762","5,568,721",55.09%,50.01%
2022,West Virginia,"494,753","1,418,697",0.90%,"5,436","3,965","3,207","12,608","1,393,321",35.51%,34.87%
2022,Wisconsin,"2,673,154","4,640,711",3.00%,"20,839","25,838","22,965","69,642","4,431,848",60.32%,57.60%
2022,Wyoming,"198,198","451,876",1.98%,"2,154","3,049",868,"6,071","436,858",45.37%,43.86%
2020,United States,159738337,259219518,7.50%,1154741,863136,499380,2671296,242077783,65.99%,61.62%
2020,Alabama,2325000,3939759,2.30%,25328,24652,8245,66284,3782861,61.46%,59.01%
2020,Alaska,361400,556443,3.50%,4578,1268,1003,7263,529649,68.23%,64.95%
2020,Arizona,3420585,5672442,7.90%,34997,37932,6887,92217,5133804,66.63%,60.30%
2020,Arkansas,1223675,2332442,3.60%,15850,20733,25852,69213,2178328,56.17%,52.46%
2020,California,17785151,30490123,14.60%,97328,0,110349,207677,25840035,68.83%,58.33%
2020,Colorado,3295666,4579181,5.80%,14990,0,0,14990,4297225,76.69%,71.97%
2020,Connecticut,1861086,2887773,7.60%,9297,0,4080,13377,2655214,70.09%,64.45%
2020,Delaware,509241,798104,5.10%,4653,5278,373,12030,745131,68.34%,63.81%
2020,District of Columbia,346491,544795,7.70%,0,0,0,0,503118,68.87%,63.60%
2020,Florida,11144855,17593558,9.40%,75977,93389,4280,204177,15742624,70.79%,63.35%
2020,Georgia,5023159,8282660,5.90%,44796,177546,19447,299832,7490838,67.06%,60.65%
2020,Hawaii,579784,1145618,8.20%,4097,0,0,4097,1047466,55.35%,50.61%
2020,Idaho,878527,1443536,4.00%,7996,14257,5967,32881,1352914,64.94%,60.86%
2020,Illinois,6050000,9910732,7.90%,28582,0,0,28582,9095238,66.52%,61.04%
2020,Indiana,3068542,5240144,3.70%,23458,0,0,23458,5025421,61.06%,58.56%
2020,Iowa,1700130,2469708,3.10%,8128,12916,7261,32528,2360125,72.04%,68.84%
2020,Kansas,1375125,2242018,4.70%,8477,8254,5428,24858,2112458,65.10%,61.33%
2020,Kentucky,2150954,3499169,2.50%,18433,28839,14429,71129,3339511,64.41%,61.47%
2020,Louisiana,2169401,3552258,2.90%,26851,14507,21566,67667,3382286,64.14%,61.07%
2020,Maine,828305,1127932,1.90%,0,0,0,0,1106276,74.87%,73.44%
2020,Maryland,3066945,4820237,8.10%,14918,0,0,14918,4416326,69.45%,63.63%
2020,Massachusetts,3658005,5638722,8.90%,5993,0,0,5993,5129755,71.31%,64.87%
2020,Michigan,5579317,7907056,3.30%,33246,0,0,33246,7615249,73.27%,70.56%
2020,Minnesota,3292997,4408498,4.00%,7681,44332,7359,73865,4157411,79.21%,74.70%
2020,Mississippi,1325000,2265253,1.40%,17569,15092,10510,48106,2185433,60.63%,58.49%
2020,Missouri,3026028,4800088,2.30%,22890,20149,20729,70356,4620290,65.49%,63.04%
2020,Montana*,612075,873659,1.40%,3910,0,0,3910,857955,71.34%,70.06%
2020,Nebraska,966920,1484568,4.70%,5071,5956,1156,14130,1400069,69.06%,65.13%
2020,Nevada,1407754,2455546,10.30%,10455,0,0,10455,2191188,64.25%,57.33%
2020,New Hampshire,814499,1132908,2.60%,2158,0,0,2158,1101294,73.96%,71.89%
2020,New Jersey,4635585,7261675,11.20%,11896,0,0,11896,6435019,72.04%,63.84%
2020,New Mexico,928230,1649222,6.00%,5377,6075,2725,16163,1534600,60.49%,56.28%
2020,New York,8690139,15787812,10.30%,32574,0,43979,76553,14081957,61.71%,55.04%
2020,North Carolina,5545848,8284274,5.40%,28406,0,0,28406,7811002,71.00%,66.94%
2020,North Dakota,364251,594772,2.70%,1384,0,0,1384,577567,63.07%,61.24%
2020,Ohio,5974121,9184163,2.50%,44608,0,0,44608,8906277,67.08%,65.05%
2020,Oklahoma,1565000,3040979,4.10%,22071,11974,2237,40197,2875494,54.43%,51.46%
2020,Oregon,2413890,3405290,5.50%,12753,0,0,12753,3204224,75.33%,70.89%
2020,Pennsylvania*,6958551,10363451,3.60%,38938,0,0,38938,9950392,69.93%,67.15%
2020,Rhode Island,522488,890532,6.80%,2227,0,0,2227,828194,63.09%,58.67%
2020,South Carolina,2533010,4087762,3.30%,15787,13722,4638,38633,3914642,64.71%,61.97%
2020,South Dakota,427529,678680,2.20%,3176,3926,3673,12059,651554,65.62%,62.99%
2020,Tennessee,3065000,5439926,3.50%,22205,31486,12407,76392,5174225,59.24%,56.34%
2020,Texas,11350000,22157381,12.20%,128653,173864,110437,469794,18982171,59.79%,51.22%
2020,Utah,1515845,2402151,5.90%,5249,0,0,5249,2255175,67.22%,63.10%
2020,Vermont,370968,531104,2.00%,0,0,0,0,520641,71.25%,69.85%
2020,Virginia,4523142,6785517,6.00%,30620,33426,2017,76990,6300717,71.79%,66.66%
2020,Washington,4116894,6079926,8.80%,15056,37534,14536,79397,5465496,75.33%,67.71%
2020,West Virginia,802726,1430595,0.90%,6031,3246,3682,14021,1403699,57.19%,56.11%
2020,Wisconsin,3310000,4621234,3.10%,19846,19960,23174,69506,4410780,75.04%,71.63%
2020,Wyoming,278503,448142,2.50%,2034,2822,954,6733,430161,64.74%,62.15%
2018,United States,"118,581,921","253,979,028",7.50%,"1,356,822","1,188,516","438,200","2,983,538","236,918,088",50.05%,46.69%
2018,Alabama,"1,721,906","3,802,178",2.30%,"25,907","29,068","10,266","65,241","3,649,487",47.18%,45.29%
2018,Alaska,"285,009","552,149",3.51%,"4,295","1,182","1,348","6,825","525,944",54.19%,51.62%
2018,Arizona,"2,409,910","5,559,776",7.87%,"38,571","43,801","7,536","89,908","5,032,314",47.89%,43.35%
2018,Arkansas,"898,793","2,310,569",3.64%,"17,518","20,930","24,698","63,146","2,163,318",41.55%,38.90%
2018,California,"12,712,542","30,532,421",14.57%,"104,730",0,0,"104,730","25,979,117",48.93%,41.64%
2018,Colorado,"2,583,580","4,451,426",5.83%,"18,914",0,10759,"29,673","4,162,235",62.07%,58.04%
2018,Connecticut,"1,421,953","2,836,517",7.59%,"13,314",0,4452,"17,766","2,603,459",54.62%,50.13%
2018,Delaware,"365,467","764,575",5.13%,"5,885","8,080",350,"14,315","711,038",51.40%,47.80%
2018,District of Columbia,"231,482","575,793",7.65%,0,0,0,0,"531,745",43.53%,40.20%
2018,Florida,"8,318,824","17,097,477",9.36%,"91,765","116,869","4,345","212,979","15,284,174",54.43%,48.66%
2018,Georgia,"3,949,905","8,040,683",5.94%,"50,963","237,559","20,426","308,948","7,254,119",54.45%,49.12%
2018,Hawaii,"398,657","1,117,235",8.21%,"5,007",0,0,"5,007","1,020,503",39.06%,35.68%
2018,Idaho,"612,536","1,316,753",4.00%,"8,378","19,603","5,267","33,248","1,230,835",49.77%,46.52%
2018,Illinois,"4,635,541","9,863,329",7.94%,"38,464",0,0,"38,464","9,041,717",51.27%,47.00%
2018,Indiana,"2,308,258","5,137,998",3.65%,"26,330",0,0,"26,330","4,924,131",46.88%,44.93%
2018,Iowa,"1,334,279","2,422,272",3.12%,"9,219","16,608","6,652","32,479","2,314,218",57.66%,55.08%
2018,Kansas,"1,060,000","2,208,263",4.67%,"9,882","9,379","5,438","24,699","2,080,438",50.95%,48.00%
2018,Kentucky,"1,612,353","3,457,567",2.53%,"23,280","26,771","15,881","65,932","3,304,159",48.80%,46.63%
2018,Louisiana,"1,519,405","3,562,345",2.88%,"32,281","19,964","29,321","81,566","3,378,184",44.98%,42.65%
2018,Maine,"646,013","1,090,959",1.92%,0,0,0,0,"1,070,013",60.37%,59.22%
2018,Maryland,"2,335,128","4,701,240",8.07%,18181,0,0,"18,181","4,303,669",54.26%,49.67%
2018,Massachusetts,"2,752,665","5,525,134",8.92%,"7,772",0,0,"7,772","5,024,520",54.78%,49.82%
2018,Michigan,"4,341,340","7,828,901",3.27%,"38,218",0,0,"38,218","7,534,678",57.62%,55.45%
2018,Minnesota,"2,611,365","4,314,700",4.02%,"9,717","57,043","7,381","74,141","4,067,108",64.21%,60.52%
2018,Mississippi,"961,025","2,275,427",1.40%,"19,258","15,558","9,866","44,682","2,198,889",43.71%,42.23%
2018,Missouri,"2,442,306","4,752,240",2.28%,"30,151","25,006","19,251","74,408","4,569,481",53.45%,51.39%
2018,Montana,"509,213","834,674",1.35%,"3,754",0,0,"3,754","819,652",62.13%,61.01%
2018,Nebraska,"706,652","1,452,363",4.74%,"5,266","8,490",958,"14,714","1,368,807",51.63%,48.66%
2018,Nevada,"975,980","2,355,238",10.34%,"12,420",7558.2,6492,"26,470","2,085,237",46.80%,41.44%
2018,New Hampshire,"580,568","1,098,605",2.60%,"2,635",0,0,"2,635","1,067,406",54.39%,52.85%
2018,New Jersey,"3,248,642","6,937,759",11.22%,"18,099",74867.79,14967,"107,934","6,051,408",53.68%,46.83%
2018,New Mexico,"701,654","1,614,275",5.97%,"6,887","6,891","2,805","16,583","1,501,320",46.74%,43.47%
2018,New York,"6,230,959","15,448,193",10.32%,"42,472",0,45192,"87,664","13,766,275",45.26%,40.33%
2018,North Carolina,"3,755,778","8,115,658",5.37%,"33,700",45638.76,14215,"93,554","7,586,293",49.51%,46.28%
2018,North Dakota,"330,598","580,647",2.66%,"1,679",0,0,"1,679","563,523",58.67%,56.94%
2018,Ohio,"4,496,834","9,092,226",2.54%,"49,932",0,0,"49,932","8,811,352",51.03%,49.46%
2018,Oklahoma,"1,190,000","2,992,026",4.12%,"27,572","23,690","1,780","53,042","2,815,712",42.26%,39.77%
2018,Oregon,"1,914,923","3,325,599",5.53%,"13,795",0,0,"13,795","3,127,898",61.22%,57.58%
2018,Pennsylvania,"5,043,029","10,155,993",3.61%,"44,162",0,0,"44,162","9,745,199",51.75%,49.66%
2018,Rhode Island,"381,267","853,159",6.75%,"2,767",0,0,"2,767","792,803",48.09%,44.69%
2018,South Carolina,"1,726,527","3,997,248",3.29%,"18,613","18,226","4,980","41,819","3,823,919",45.15%,43.19%
2018,South Dakota,"341,048","664,037",2.22%,"3,867",0,"3,201","7,068","642,227",53.10%,51.36%
2018,Tennessee,"2,267,428","5,281,898",3.48%,"26,120","34,914","10,842","71,876","5,026,212",45.11%,42.93%
2018,Texas,"8,375,000","21,367,177",12.21%,"154,935","209,855","109,213","474,003","18,284,242",45.80%,39.20%
2018,Utah,"1,082,972","2,240,839",5.90%,"6,288",0,0,"6,288","2,102,342",51.51%,48.33%
2018,Vermont,"278,230","509,304",1.97%,0,0,0,0,"499,271",55.73%,54.63%
2018,Virginia,"3,363,505","6,648,405",6.01%,"35,754","35,973","1,860","73,587","6,175,249",54.47%,50.59%
2018,Washington,"3,133,448","5,894,441",8.80%,"18,787","43,703","12,222","74,712","5,301,018",59.11%,53.16%
2018,West Virginia,"597,149","1,437,430",0.90%,"6,757","3,758","4,287","14,802","1,409,691",42.36%,41.54%
2018,Wisconsin,"2,675,000","4,540,190",3.05%,"23,595","24,458","21,015","69,068","4,332,646",61.74%,58.92%
2018,Wyoming,"205,275","443,716",2.51%,"2,488","3,068",934,"6,490","426,089",48.18%,46.26%
2016,United States,"138,747,904","249,964,761",8.30%,"1,416,810","2,198,907","506,297","3,176,484","230,780,798",60.12%,55.51%
2016,Alabama,"2,134,061","3,770,952",2.50%,"28,680","52,177","8,562","66,983","3,609,696",59.12%,56.59%
2016,Alaska,"321,271","554,526",4.10%,"4,317","6,621","1,812","9,903","521,888",61.56%,57.94%
2016,Arizona,"2,661,497","5,347,427",9.40%,"37,582","77,373","7,500","89,185","4,755,584",55.97%,49.77%
2016,Arkansas,"1,137,772","2,287,921",3.80%,"17,242","30,881","23,792","58,636","2,142,344",53.11%,49.73%
2016,California,"14,610,509","30,130,155",16.40%,"130,390",0,0,"130,390","25,058,420",58.31%,48.49%
2016,Colorado,"2,859,216","4,301,685",7.00%,"18,576",0,10186,"28,762","3,971,805",71.99%,66.47%
2016,Connecticut,"1,675,955","2,827,488",7.80%,"14,475",0,3379,"17,854","2,589,090",64.73%,59.27%
2016,Delaware,"445,228","748,217",5.70%,"6,254","15,395",387,"15,416","690,153",64.51%,59.51%
2016,District of Columbia,"312,575","565,352",8.40%,0,0,0,0,"517,863",60.36%,55.29%
2016,Florida,"9,580,489","16,533,216",10.50%,"92,847","214,066","4,566","219,431","14,577,798",65.72%,57.95%
2016,Georgia,"4,165,405","7,831,741",7.20%,"51,092","410,964","22,386","307,727","6,960,129",59.85%,53.19%
2016,Hawaii,"437,664","1,120,762",9.10%,"5,474",0,0,"5,474","1,013,299",43.19%,39.05%
2016,Idaho,"710,545","1,256,143",4.40%,"7,949","32,409","5,054","31,476","1,169,396",60.76%,56.57%
2016,Illinois,"5,666,118","9,887,574",8.50%,"42,017",0,0,"42,017","9,005,114",62.92%,57.31%
2016,Indiana,"2,807,676","5,072,700",3.70%,"24,948",0,0,"24,948","4,860,062",57.77%,55.35%
2016,Iowa,"1,581,371","2,404,019",3.60%,"8,888","29,254","6,051","31,614","2,285,860",69.18%,65.78%
2016,Kansas,"1,225,667","2,196,904",5.20%,"9,613","16,654","4,830","23,936","2,058,729",59.54%,55.79%
2016,Kentucky,"1,955,195","3,430,752",2.40%,"22,868","48,457","15,383","65,871","3,282,543",59.56%,56.99%
2016,Louisiana,"2,049,531","3,563,801",2.70%,"35,543","40,174","30,907","89,349","3,378,229",60.67%,57.51%
2016,Maine,"771,892","1,079,197",1.80%,0,0,0,0,"1,059,772",72.84%,71.52%
2016,Maryland,"2,807,322","4,663,738",8.80%,19382,72529,10305,"71,029","4,182,300",67.12%,60.19%
2016,Massachusetts,"3,378,801","5,453,921",8.90%,"8,780",0,0,"8,780","4,959,742",68.12%,61.95%
2016,Michigan,"4,874,619","7,765,389",3.70%,"40,502",0,0,"40,502","7,437,567",65.54%,62.77%
2016,Minnesota,"2,968,281","4,242,668",4.60%,"10,158","96,852","7,075","72,439","3,975,066",74.67%,69.96%
2016,Mississippi,"1,209,357","2,268,353",1.40%,"19,150","29,067","8,645","44,363","2,192,233",55.17%,53.31%
2016,Missouri,"2,811,549","4,709,176",2.50%,"31,956","43,799","17,792","74,713","4,516,733",62.25%,59.70%
2016,Montana,"516,901","816,023",1.20%,"3,795",0,0,"3,795","802,436",64.42%,63.34%
2016,Nebraska,"860,573","1,435,123",5.50%,"5,079","13,489",1088,"13,856","1,342,336",64.11%,59.97%
2016,Nevada,"1,125,429","2,260,341",12.60%,"13,742",13724,5261,"26,826","1,948,712",57.75%,49.79%
2016,New Hampshire,"755,850","1,082,981",2.90%,"2,818",0,0,"2,818","1,048,757",72.07%,69.79%
2016,New Jersey,"3,957,303","6,903,418",12.00%,"18,504",140589,15128,"113,768","5,961,240",66.38%,57.32%
2016,New Mexico,"804,043","1,600,627",6.90%,"6,914","12,714","2,780","16,941","1,473,243",54.58%,50.23%
2016,New York,"7,786,881","15,473,628",12.00%,"46,416",0,44426,"90,842","13,525,950",57.57%,50.32%
2016,North Carolina,"4,769,640","7,898,733",5.50%,"34,357",82466,12726,"94,089","7,370,213",64.72%,60.38%
2016,North Dakota,"349,945","579,842",2.20%,"1,791",0,0,"1,791","565,295",61.90%,60.35%
2016,Ohio,"5,607,641","9,028,098",2.40%,"51,666",0,0,"51,666","8,759,758",64.02%,62.11%
2016,Oklahoma,"1,465,505","2,972,077",4.70%,"26,691","33,562","1,895","47,716","2,784,673",52.63%,49.31%
2016,Oregon,"2,056,310","3,233,909",6.30%,"15,166",0,0,"15,166","3,015,007",68.20%,63.59%
2016,Pennsylvania,"6,223,150","10,114,662",3.70%,"48,098",0,0,"48,098","9,692,322",64.21%,61.53%
2016,Rhode Island,"469,589","848,850",7.10%,"3,038",0,0,"3,038","785,544",59.78%,55.32%
2016,South Carolina,"2,123,584","3,881,185",3.40%,"20,350","32,634","4,347","43,298","3,705,927",57.30%,54.71%
2016,South Dakota,"378,995","651,179",2.50%,"3,744",0,"2,687","6,431","628,468",60.30%,58.20%
2016,Tennessee,"2,545,271","5,162,937",3.50%,"27,906","62,609","12,092","75,685","4,906,550",51.87%,49.30%
2016,Texas,"8,975,000","20,718,271",13.30%,"155,327","374,285","111,287","479,956","17,482,785",51.34%,43.32%
2016,Utah,"1,152,369","2,139,328",6.90%,"5,846",0,0,"5,846","1,985,869",58.03%,53.87%
2016,Vermont,"320,467","505,888",2.20%,0,0,0,0,"494,758",64.77%,63.35%
2016,Virginia,"3,996,302","6,556,247",6.90%,"36,959","60,821","1,650","73,277","6,030,589",66.27%,60.95%
2016,Washington,"3,363,440","5,693,791",8.60%,"18,335","89,317","11,322","80,568","5,123,557",65.65%,59.07%
2016,West Virginia,"732,362","1,454,560",1.10%,"7,137","6,523","3,550","14,405","1,424,155",51.42%,50.35%
2016,Wisconsin,"2,993,000","4,493,054",3.20%,"22,889","44,489","20,401","68,649","4,280,628",69.92%,66.61%
2016,Wyoming,"258,788","446,228",2.40%,"2,323","4,666",842,"5,825","429,694",60.23%,57.99%
2014,United States,"83,155,963","245,497,227",8.30%,"1,493,706","2,298,993","548,576","3,329,718","227,137,053",36.61%,33.87%
2014,Alabama,"1,191,274","3,740,624",2.60%,"31,691","53,640","8,097","69,826","3,573,542",33.34%,31.85%
2014,Alaska,"285,431","550,095",3.90%,"5,216","7,077","2,210","11,389","517,252",55.18%,51.89%
2014,Arizona,"1,537,671","5,138,141",9.70%,"37,516","73,232","7,502","86,028","4,553,713",33.77%,29.93%
2014,Arkansas,"852,642","2,264,098",3.80%,"17,756","28,192","21,743","55,287","2,122,776",40.17%,37.66%
2014,California,"7,513,972","29,575,685",16.70%,"136,088",0,87104,"223,192","24,413,353",30.78%,25.41%
2014,Colorado,"2,080,071","4,132,930",7.00%,"19,121",0,10067,"29,188","3,814,437",54.53%,50.33%
2014,Connecticut,"1,096,556","2,822,985",8.20%,"16,113",0,2564,"18,677","2,572,824",42.62%,38.84%
2014,Delaware,"238,110","731,850",5.60%,"6,625","15,665",676,"16,073","674,793",35.29%,32.54%
2014,District of Columbia,"177,176","549,851",9.20%,0,0,0,0,"499,265",35.49%,32.22%
2014,Florida,"6,026,802","15,897,657",10.50%,"95,671","227,087","4,519","227,359","14,001,044",43.05%,37.91%
2014,Georgia,"2,596,947","7,613,021",7.10%,"50,499","471,067","25,547","339,844","6,732,653",38.57%,34.11%
2014,Hawaii,"369,554","1,109,048",8.90%,"5,721",0,0,"5,721","1,004,622",36.79%,33.32%
2014,Idaho,"445,307","1,205,909",4.60%,"7,901","33,450","4,217","30,850","1,119,588",39.77%,36.93%
2014,Illinois,"3,680,417","9,893,765",8.70%,"46,465",0,0,"46,465","8,986,543",40.95%,37.20%
2014,Indiana,"1,387,622","5,017,809",3.70%,"28,638",0,0,"28,638","4,803,512",28.89%,27.65%
2014,Iowa,"1,142,284","2,384,136",3.50%,"8,686","29,929","5,769","31,215","2,269,477",50.33%,47.91%
2014,Kansas,"887,023","2,181,529",5.30%,"9,326","16,328","4,051","22,521","2,043,387",43.41%,40.66%
2014,Kentucky,"1,459,409","3,404,267",2.50%,"21,402","54,107","16,729","68,431","3,250,729",44.89%,42.87%
2014,Louisiana,"1,503,975","3,536,724",2.80%,"37,881","40,979","29,619","90,448","3,347,248",44.93%,42.52%
2014,Maine,"616,996","1,071,220",1.70%,0,0,0,0,"1,053,009",58.59%,57.60%
2014,Maryland,"1,745,104","4,620,229",8.70%,20388,79539,11537,"76,467","4,141,802",42.13%,37.77%
2014,Massachusetts,"2,186,789","5,382,729",8.70%,"10,014",0,0,"10,014","4,904,417",44.59%,40.63%
2014,Michigan,"3,188,956","7,707,406",3.60%,"42,900",0,0,"42,900","7,387,039",43.17%,41.38%
2014,Minnesota,"1,992,613","4,177,839",4.50%,"10,003","97,661","6,642","71,335","3,918,501",50.85%,47.69%
2014,Mississippi,"631,858","2,260,078",1.70%,"18,756","34,398","9,883","47,902","2,173,754",29.07%,27.96%
2014,Missouri,"1,509,025","4,669,356",2.50%,"31,432","47,303","18,495","76,417","4,476,205",33.71%,32.32%
2014,Montana,"373,831","798,918",1.10%,"3,681",0,0,"3,681","786,449",47.53%,46.79%
2014,Nebraska,"552,115","1,414,871",5.10%,"5,221","12,940",1067,"13,534","1,329,179",41.54%,39.02%
2014,Nevada,"552,546","2,171,523",12.50%,"12,537",12027,5927,"25,199","1,874,884",29.47%,25.45%
2014,New Hampshire,"495,565","1,067,564",3.10%,"2,867",0,0,"2,867","1,031,603",48.04%,46.42%
2014,New Jersey,"1,955,042","6,872,067",11.90%,"20,255",115898,14889,"100,047","5,954,244",32.83%,28.45%
2014,New Mexico,"519,436","1,587,274",7.40%,"6,879","16,060","2,255","18,128","1,451,687",35.78%,32.73%
2014,New York,"3,930,310","15,453,917",12.10%,"48,376",0,44889,"93,265","13,490,728",29.13%,25.43%
2014,North Carolina,"2,939,767","7,681,181",5.90%,"35,726",90918,10025,"96,665","7,131,326",41.22%,38.27%
2014,North Dakota,"255,128","572,498",2.20%,"1,700",0,0,"1,700","558,203",45.71%,44.56%
2014,Ohio,"3,149,876","8,968,923",2.40%,"51,024",0,0,"51,024","8,702,645",36.19%,35.12%
2014,Oklahoma,"825,607","2,931,636",4.60%,"27,650","28,568","2,560","46,208","2,750,573",30.02%,28.16%
2014,Oregon,"1,541,782","3,119,674",6.70%,"15,075",0,0,"15,075","2,895,581",53.25%,49.42%
2014,Pennsylvania,"3,535,576","10,088,426",3.50%,"49,643",0,0,"49,643","9,685,688",36.50%,35.05%
2014,Rhode Island,"329,212","844,183",7.30%,"3,294",0,0,"3,294","779,264",42.25%,39.00%
2014,South Carolina,"1,261,611","3,760,446",3.40%,"20,917","35,096","5,225","45,796","3,586,795",35.17%,33.55%
2014,South Dakota,"282,291","640,486",2.20%,"3,528",0,"2,611","6,139","620,256",45.51%,44.07%
2014,Tennessee,"1,430,117","5,061,487",3.50%,"28,495","62,950","13,498","77,245","4,807,090",29.75%,28.25%
