Year,State,Atkin05,Gini,RMeanDev,Theil
1918,Illinois,0.19,0.45,0.65,0.56
1918,Indiana,0.11,0.33,0.47,0.29
1918,Iowa,0.08,0.30,0.42,0.19
1918,Kansas,0.10,0.32,0.45,0.23
1918,Kentucky,0.15,0.41,0.60,0.41
1918,Louisiana,0.19,0.47,0.68,0.52
1918,Maine,0.16,0.41,0.60,0.45
1918,Maryland,0.18,0.42,0.61,0.53
1918,Massachusetts,0.24,0.50,0.76,0.75
1918,Michigan,0.18,0.43,0.62,0.54
1918,Minnesota,0.15,0.38,0.54,0.44
1918,Mississippi,0.13,0.38,0.53,0.32
1918,Missouri,0.16,0.42,0.61,0.45
1918,Montana,0.10,0.32,0.44,0.28
1918,Nebraska,0.08,0.31,0.43,0.20
1918,Nevada,0.07,0.28,0.39,0.16
1918,New Hampshire,0.17,0.43,0.62,0.48
1918,New Jersey,0.19,0.43,0.64,0.56
1918,New Mexico,0.08,0.29,0.40,0.22
1918,New York,0.30,0.56,0.85,1.00
1918,North Carolina,0.17,0.42,0.63,0.51
1918,North Dakota,0.07,0.29,0.41,0.16
1918,Ohio,0.17,0.41,0.59,0.51
1918,Oklahoma,0.13,0.36,0.52,0.34
1918,Oregon,0.15,0.39,0.56,0.43
1918,Pennsylvania,0.20,0.45,0.65,0.66
1918,Rhode Island,0.27,0.53,0.81,0.90
1918,South Carolina,0.11,0.35,0.51,0.27
1918,South Dakota,0.06,0.27,0.38,0.14
1918,Tennessee,0.15,0.40,0.58,0.39
1918,Texas,0.16,0.41,0.61,0.45
1918,Utah,0.10,0.34,0.49,0.26
1918,Vermont,0.18,0.44,0.63,0.51
1918,Virginia,0.14,0.38,0.56,0.38
1918,Washington,0.11,0.34,0.48,0.30
1918,West Virginia,0.12,0.35,0.50,0.33
1918,Wisconsin,0.15,0.39,0.56,0.40
1918,Wyoming,0.16,0.43,0.64,0.41
1919,United States,0.20,0.46,0.66,0.60
1919,Alabama,0.14,0.39,0.56,0.36
1919,Arizona,0.11,0.35,0.50,0.30
1919,Arkansas,0.12,0.37,0.54,0.30
1919,California,0.17,0.44,0.63,0.47
1919,Colorado,0.14,0.39,0.56,0.38
1919,Connecticut,0.20,0.46,0.68,0.57
1919,Delaware,0.31,0.55,0.85,1.11
1919,District of Columbia,0.19,0.45,0.66,0.55
1919,Florida,0.15,0.40,0.57,0.40
1919,Georgia,0.14,0.40,0.57,0.38
1919,Idaho,0.09,0.32,0.45,0.21
1919,Illinois,0.18,0.44,0.63,0.53
1919,Indiana,0.12,0.36,0.51,0.32
1919,Iowa,0.09,0.32,0.44,0.21
1919,Kansas,0.11,0.34,0.47,0.28
1919,Kentucky,0.13,0.37,0.54,0.32
1919,Louisiana,0.22,0.49,0.73,0.61
1919,Maine,0.15,0.40,0.58,0.42
1919,Maryland,0.19,0.45,0.66,0.56
1919,Massachusetts,0.24,0.50,0.74,0.72
1919,Michigan,0.21,0.46,0.66,0.83
1919,Minnesota,0.16,0.41,0.58,0.45
1919,Mississippi,0.17,0.44,0.65,0.45
1919,Missouri,0.18,0.44,0.64,0.47
1919,Montana,0.09,0.31,0.43,0.23
1919,Nebraska,0.11,0.36,0.51,0.28
1919,Nevada,0.09,0.31,0.44,0.21
1919,New Hampshire,0.15,0.40,0.57,0.41
1919,New Jersey,0.18,0.44,0.63,0.54
1919,New Mexico,0.09,0.32,0.47,0.23
1919,New York,0.30,0.57,0.87,0.95
1919,North Carolina,0.18,0.44,0.64,0.51
1919,North Dakota,0.08,0.30,0.41,0.17
1919,Ohio,0.19,0.45,0.65,0.54
1919,Oklahoma,0.14,0.39,0.56,0.40
1919,Oregon,0.16,0.42,0.60,0.46
1919,Pennsylvania,0.22,0.47,0.70,0.68
1919,Rhode Island,0.25,0.52,0.78,0.78
1919,South Carolina,0.12,0.37,0.52,0.31
1919,South Dakota,0.08,0.30,0.42,0.18
1919,Tennessee,0.17,0.43,0.63,0.44
1919,Texas,0.16,0.42,0.60,0.44
1919,Utah,0.10,0.34,0.48,0.25
1919,Vermont,0.18,0.44,0.63,0.49
1919,Virginia,0.14,0.39,0.56,0.37
1919,Washington,0.14,0.39,0.56,0.37
1919,West Virginia,0.14,0.39,0.56,0.39
1919,Wisconsin,0.14,0.39,0.56,0.36
1919,Wyoming,0.11,0.34,0.49,0.28
1920,United States,0.16,0.40,0.58,0.46
1920,Alabama,0.11,0.34,0.49,0.30
1920,Arizona,0.07,0.27,0.38,0.18
1920,Arkansas,0.10,0.32,0.46,0.27
1920,California,0.14,0.39,0.56,0.37
1920,Colorado,0.12,0.35,0.49,0.32
1920,Connecticut,0.15,0.40,0.57,0.42
1920,Delaware,0.16,0.40,0.58,0.46
1920,District of Columbia,0.15,0.39,0.56,0.42
1920,Florida,0.14,0.38,0.55,0.37
1920,Georgia,0.13,0.36,0.52,0.35
1920,Idaho,0.06,0.27,0.37,0.15
1920,Illinois,0.17,0.42,0.62,0.47
1920,Indiana,0.11,0.33,0.47,0.29
1920,Iowa,0.11,0.35,0.51,0.26
1920,Kansas,0.11,0.34,0.49,0.27
1920,Kentucky,0.13,0.38,0.55,0.33
1920,Louisiana,0.14,0.40,0.56,0.39
1920,Maine,0.13,0.38,0.54,0.37
1920,Maryland,0.16,0.41,0.59,0.44
1920,Massachusetts,0.18,0.42,0.61,0.52
1920,Michigan,0.15,0.39,0.56,0.50
1920,Minnesota,0.14,0.38,0.54,0.38
1920,Mississippi,0.12,0.35,0.49,0.31
1920,Missouri,0.16,0.42,0.62,0.44
1920,Montana,0.07,0.26,0.35,0.18
1920,Nebraska,0.11,0.35,0.51,0.27
1920,Nevada,0.06,0.25,0.35,0.13
1920,New Hampshire,0.13,0.37,0.52,0.34
1920,New Jersey,0.16,0.40,0.58,0.44
1920,New Mexico,0.07,0.27,0.37,0.16
1920,New York,0.21,0.47,0.70,0.66
1920,North Carolina,0.18,0.42,0.62,0.58
1920,North Dakota,0.07,0.29,0.40,0.17
1920,Ohio,0.15,0.39,0.57,0.43
1920,Oklahoma,0.15,0.39,0.57,0.41
1920,Oregon,0.12,0.36,0.52,0.34
1920,Pennsylvania,0.18,0.43,0.63,0.55
1920,Rhode Island,0.22,0.48,0.70,0.67
1920,South Carolina,0.12,0.35,0.50,0.31
1920,South Dakota,0.09,0.33,0.46,0.21
1920,Tennessee,0.15,0.40,0.59,0.38
1920,Texas,0.11,0.34,0.48,0.31
1920,Utah,0.08,0.29,0.40,0.21
1920,Vermont,0.15,0.40,0.57,0.42
1920,Virginia,0.12,0.36,0.52,0.32
1920,Washington,0.09,0.32,0.45,0.25
1920,West Virginia,0.12,0.34,0.48,0.32
1920,Wisconsin,0.14,0.39,0.57,0.38
1920,Wyoming,0.06,0.24,0.33,0.15
1921,United States,0.16,0.41,0.58,0.45
1921,Alabama,0.12,0.34,0.47,0.30
1921,Arizona,0.05,0.23,0.31,0.12
1921,Arkansas,0.12,0.35,0.48,0.28
1921,California,0.15,0.40,0.56,0.38
1921,Colorado,0.14,0.39,0.54,0.35
1921,Connecticut,0.18,0.44,0.63,0.48
1921,Delaware,0.15,0.40,0.55,0.42
1921,District of Columbia,0.15,0.40,0.57,0.39
1921,Florida,0.14,0.40,0.55,0.34
1921,Georgia,0.13,0.37,0.50,0.32
1921,Idaho,0.08,0.29,0.39,0.17
1921,Illinois,0.15,0.40,0.58,0.43
1921,Indiana,0.12,0.35,0.48,0.30
1921,Iowa,0.10,0.32,0.45,0.24
1921,Kansas,0.12,0.36,0.49,0.26
1921,Kentucky,0.14,0.39,0.54,0.34
1921,Louisiana,0.13,0.38,0.52,0.33
1921,Maine,0.15,0.39,0.55,0.41
1921,Maryland,0.18,0.44,0.63,0.46
1921,Massachusetts,0.19,0.44,0.63,0.52
1921,Michigan,0.17,0.41,0.57,0.49
1921,Minnesota,0.14,0.38,0.52,0.36
1921,Mississippi,0.14,0.41,0.54,0.31
1921,Missouri,0.15,0.40,0.56,0.39
1921,Montana,0.09,0.31,0.40,0.21
1921,Nebraska,0.13,0.37,0.51,0.30
1921,Nevada,0.09,0.31,0.42,0.21
1921,New Hampshire,0.14,0.38,0.53,0.35
1921,New Jersey,0.17,0.42,0.60,0.45
1921,New Mexico,0.09,0.31,0.41,0.20
1921,New York,0.22,0.48,0.70,0.64
1921,North Carolina,0.14,0.38,0.54,0.39
1921,North Dakota,0.09,0.31,0.42,0.19
1921,Ohio,0.15,0.40,0.57,0.42
1921,Oklahoma,0.12,0.35,0.48,0.29
1921,Oregon,0.14,0.37,0.51,0.38
1921,Pennsylvania,0.17,0.41,0.59,0.49
1921,Rhode Island,0.22,0.47,0.69,0.66
1921,South Carolina,0.11,0.35,0.46,0.27
1921,South Dakota,0.11,0.35,0.47,0.23
1921,Tennessee,0.14,0.40,0.55,0.34
1921,Texas,0.12,0.36,0.48,0.30
1921,Utah,0.10,0.33,0.45,0.24
1921,Vermont,0.14,0.40,0.55,0.37
1921,Virginia,0.12,0.36,0.49,0.30
1921,Washington,0.13,0.39,0.53,0.29
1921,West Virginia,0.13,0.36,0.49,0.32
1921,Wisconsin,0.16,0.41,0.59,0.39
1921,Wyoming,0.09,0.31,0.41,0.22
1922,United States,0.19,0.44,0.63,0.55
1922,Alabama,0.13,0.37,0.53,0.34
1922,Arizona,0.10,0.33,0.45,0.23
1922,Arkansas,0.14,0.39,0.55,0.36
1922,California,0.16,0.41,0.59,0.43
1922,Colorado,0.17,0.41,0.57,0.50
1922,Connecticut,0.18,0.44,0.63,0.49
1922,Delaware,0.16,0.39,0.56,0.47
1922,District of Columbia,0.16,0.41,0.59,0.47
1922,Florida,0.16,0.42,0.59,0.44
1922,Georgia,0.14,0.38,0.52,0.35
1922,Idaho,0.09,0.30,0.39,0.19
1922,Illinois,0.19,0.45,0.64,0.55
1922,Indiana,0.13,0.37,0.51,0.34
1922,Iowa,0.09,0.31,0.41,0.23
1922,Kansas,0.13,0.37,0.51,0.29
1922,Kentucky,0.16,0.41,0.58,0.40
1922,Louisiana,0.14,0.38,0.54,0.36
1922,Maine,0.16,0.41,0.59,0.47
1922,Maryland,0.18,0.45,0.64,0.50
1922,Massachusetts,0.23,0.49,0.71,0.66
1922,Michigan,0.19,0.43,0.61,0.65
1922,Minnesota,0.16,0.40,0.56,0.42
1922,Mississippi,0.14,0.39,0.54,0.36
1922,Missouri,0.17,0.42,0.61,0.46
1922,Montana,0.10,0.32,0.43,0.23
1922,Nebraska,0.12,0.37,0.50,0.29
1922,Nevada,0.08,0.30,0.41,0.17
1922,New Hampshire,0.16,0.41,0.57,0.42
1922,New Jersey,0.19,0.44,0.62,0.57
1922,New Mexico,0.10,0.32,0.44,0.22
1922,New York,0.25,0.51,0.76,0.79
1922,North Carolina,0.15,0.38,0.54,0.42
1922,North Dakota,0.09,0.32,0.43,0.20
1922,Ohio,0.17,0.42,0.60,0.50
1922,Oklahoma,0.17,0.42,0.59,0.48
1922,Oregon,0.15,0.39,0.53,0.40
1922,Pennsylvania,0.20,0.45,0.66,0.60
1922,Rhode Island,0.23,0.48,0.71,0.69
1922,South Carolina,0.12,0.36,0.49,0.30
1922,South Dakota,0.10,0.33,0.46,0.22
1922,Tennessee,0.15,0.41,0.58,0.40
1922,Texas,0.14,0.37,0.51,0.37
1922,Utah,0.11,0.34,0.46,0.28
1922,Vermont,0.17,0.42,0.60,0.46
1922,Virginia,0.14,0.38,0.54,0.37
1922,Washington,0.11,0.34,0.47,0.26
1922,West Virginia,0.15,0.39,0.55,0.40
1922,Wisconsin,0.16,0.41,0.58,0.42
1922,Wyoming,0.11,0.34,0.45,0.25
1923,United States,0.17,0.42,0.59,0.50
1923,Alabama,0.14,0.38,0.53,0.39
1923,Arizona,0.10,0.32,0.43,0.22
1923,Arkansas,0.14,0.38,0.53,0.35
1923,California,0.16,0.41,0.58,0.44
1923,Colorado,0.14,0.38,0.51,0.39
1923,Connecticut,0.18,0.44,0.62,0.53
1923,Delaware,0.18,0.42,0.60,0.49
1923,District of Columbia,0.19,0.47,0.71,0.46
1923,Florida,0.17,0.42,0.58,0.49
1923,Georgia,0.14,0.37,0.51,0.35
1923,Idaho,0.09,0.30,0.41,0.20
1923,Illinois,0.18,0.42,0.59,0.51
1923,Indiana,0.12,0.35,0.48,0.33
1923,Iowa,0.11,0.33,0.45,0.27
1923,Kansas,0.10,0.32,0.43,0.23
1923,Kentucky,0.15,0.40,0.56,0.38
1923,Louisiana,0.14,0.39,0.54,0.37
1923,Maine,0.15,0.40,0.56,0.43
1923,Maryland,0.20,0.47,0.68,0.54
1923,Massachusetts,0.19,0.45,0.64,0.54
1923,Michigan,0.17,0.40,0.55,0.54
1923,Minnesota,0.15,0.41,0.57,0.42
1923,Mississippi,0.15,0.39,0.54,0.39
1923,Missouri,0.16,0.41,0.58,0.44
1923,Montana,0.09,0.30,0.41,0.19
1923,Nebraska,0.12,0.35,0.49,0.28
1923,Nevada,0.08,0.30,0.43,0.19
1923,New Hampshire,0.13,0.37,0.51,0.34
1923,New Jersey,0.18,0.44,0.61,0.52
1923,New Mexico,0.09,0.30,0.41,0.21
1923,New York,0.23,0.48,0.70,0.71
1923,North Carolina,0.16,0.40,0.56,0.46
1923,North Dakota,0.08,0.30,0.41,0.17
1923,Ohio,0.15,0.39,0.54,0.42
1923,Oklahoma,0.13,0.38,0.53,0.34
1923,Oregon,0.12,0.35,0.48,0.32
1923,Pennsylvania,0.18,0.43,0.60,0.54
1923,Rhode Island,0.19,0.44,0.63,0.55
1923,South Carolina,0.17,0.41,0.57,0.49
1923,South Dakota,0.10,0.32,0.44,0.21
1923,Tennessee,0.14,0.39,0.55,0.36
1923,Texas,0.12,0.36,0.49,0.31
1923,Utah,0.11,0.34,0.47,0.26
1923,Vermont,0.16,0.40,0.56,0.48
1923,Virginia,0.12,0.36,0.51,0.31
1923,Washington,0.10,0.33,0.45,0.24
1923,West Virginia,0.13,0.36,0.50,0.35
1923,Wisconsin,0.14,0.38,0.53,0.35
1923,Wyoming,0.09,0.31,0.43,0.21
1924,United States,0.19,0.44,0.63,0.56
1924,Alabama,0.15,0.39,0.56,0.39
1924,Arizona,0.11,0.34,0.47,0.26
1924,Arkansas,0.14,0.38,0.53,0.36
1924,California,0.17,0.42,0.60,0.48
1924,Colorado,0.16,0.40,0.55,0.42
1924,Connecticut,0.21,0.48,0.68,0.61
1924,Delaware,0.25,0.49,0.72,0.79
1924,District of Columbia,0.17,0.42,0.59,0.47
1924,Florida,0.21,0.47,0.68,0.58
1924,Georgia,0.15,0.39,0.55,0.38
1924,Idaho,0.09,0.32,0.45,0.20
1924,Illinois,0.19,0.44,0.62,0.53
1924,Indiana,0.15,0.39,0.54,0.39
1924,Iowa,0.13,0.38,0.52,0.34
1924,Kansas,0.13,0.37,0.52,0.32
1924,Kentucky,0.16,0.42,0.58,0.42
1924,Louisiana,0.15,0.41,0.58,0.40
1924,Maine,0.18,0.43,0.60,0.48
1924,Maryland,0.18,0.43,0.61,0.50
1924,Massachusetts,0.23,0.48,0.70,0.65
1924,Michigan,0.19,0.43,0.60,0.61
1924,Minnesota,0.16,0.41,0.57,0.45
1924,Mississippi,0.15,0.39,0.54,0.39
1924,Missouri,0.17,0.43,0.61,0.47
1924,Montana,0.10,0.32,0.43,0.23
1924,Nebraska,0.12,0.36,0.50,0.30
1924,Nevada,0.10,0.32,0.46,0.22
1924,New Hampshire,0.16,0.42,0.58,0.43
1924,New Jersey,0.19,0.44,0.62,0.53
1924,New Mexico,0.10,0.33,0.45,0.23
1924,New York,0.25,0.51,0.74,0.79
1924,North Carolina,0.17,0.41,0.57,0.46
1924,North Dakota,0.09,0.32,0.43,0.21
1924,Ohio,0.18,0.43,0.61,0.52
1924,Oklahoma,0.16,0.40,0.55,0.42
1924,Oregon,0.13,0.38,0.52,0.33
1924,Pennsylvania,0.20,0.44,0.63,0.58
1924,Rhode Island,0.22,0.47,0.68,0.66
1924,South Carolina,0.13,0.38,0.52,0.32
1924,South Dakota,0.08,0.29,0.39,0.18
1924,Tennessee,0.16,0.41,0.58,0.40
1924,Texas,0.14,0.38,0.52,0.35
1924,Utah,0.12,0.35,0.49,0.27
1924,Vermont,0.16,0.41,0.57,0.42
1924,Virginia,0.15,0.40,0.55,0.38
1924,Washington,0.10,0.33,0.46,0.24
1924,West Virginia,0.14,0.38,0.53,0.37
1924,Wisconsin,0.16,0.41,0.57,0.43
1924,Wyoming,0.10,0.32,0.44,0.23
1925,United States,0.25,0.52,0.77,0.78
1925,Alabama,0.16,0.43,0.62,0.41
1925,Arizona,0.14,0.38,0.54,0.35
1925,Arkansas,0.17,0.44,0.63,0.45
1925,California,0.21,0.48,0.69,0.60
1925,Colorado,0.19,0.45,0.63,0.52
1925,Connecticut,0.27,0.54,0.81,0.77
1925,Delaware,0.34,0.61,0.95,1.09
1925,District of Columbia,0.23,0.49,0.73,0.65
1925,Florida,0.26,0.55,0.84,0.68
1925,Georgia,0.19,0.45,0.64,0.50
1925,Idaho,0.10,0.33,0.47,0.21
1925,Illinois,0.24,0.51,0.76,0.74
1925,Indiana,0.20,0.46,0.66,0.60
1925,Iowa,0.17,0.43,0.62,0.48
1925,Kansas,0.15,0.41,0.56,0.41
1925,Kentucky,0.18,0.45,0.65,0.47
1925,Louisiana,0.18,0.44,0.62,0.46
1925,Maine,0.25,0.52,0.75,0.72
1925,Maryland,0.24,0.51,0.75,0.71
1925,Massachusetts,0.28,0.55,0.83,0.88
1925,Michigan,0.27,0.52,0.77,0.93
1925,Minnesota,0.19,0.45,0.63,0.52
1925,Mississippi,0.16,0.43,0.60,0.38
1925,Missouri,0.23,0.50,0.74,0.71
1925,Montana,0.11,0.35,0.49,0.29
1925,Nebraska,0.15,0.41,0.57,0.41
1925,Nevada,0.12,0.36,0.52,0.32
1925,New Hampshire,0.19,0.46,0.66,0.50
1925,New Jersey,0.24,0.51,0.76,0.68
1925,New Mexico,0.12,0.37,0.52,0.28
1925,New York,0.33,0.60,0.92,1.08
1925,North Carolina,0.20,0.46,0.66,0.54
1925,North Dakota,0.10,0.34,0.48,0.22
1925,Ohio,0.22,0.49,0.71,0.66
1925,Oklahoma,0.25,0.51,0.74,0.94
1925,Oregon,0.15,0.42,0.60,0.39
1925,Pennsylvania,0.26,0.53,0.79,0.83
1925,Rhode Island,0.27,0.54,0.82,0.83
1925,South Carolina,0.13,0.38,0.52,0.30
1925,South Dakota,0.09,0.31,0.43,0.19
1925,Tennessee,0.18,0.46,0.65,0.47
1925,Texas,0.17,0.42,0.59,0.45
1925,Utah,0.15,0.40,0.56,0.37
1925,Vermont,0.19,0.46,0.66,0.52
1925,Virginia,0.17,0.44,0.62,0.47
1925,Washington,0.13,0.38,0.55,0.33
1925,West Virginia,0.17,0.43,0.61,0.46
1925,Wisconsin,0.19,0.45,0.64,0.53
1925,Wyoming,0.12,0.37,0.53,0.30
1926,United States,0.25,0.52,0.77,0.79
1926,Alabama,0.18,0.45,0.64,0.45
1926,Arizona,0.14,0.40,0.57,0.35
1926,Arkansas,0.17,0.43,0.60,0.44
1926,California,0.24,0.51,0.76,0.73
1926,Colorado,0.19,0.46,0.65,0.54
1926,Connecticut,0.26,0.54,0.81,0.76
1926,Delaware,0.43,0.67,1.06,1.53
1926,District of Columbia,0.23,0.50,0.73,0.65
1926,Florida,0.25,0.52,0.77,0.71
1926,Georgia,0.18,0.45,0.64,0.45
1926,Idaho,0.09,0.32,0.45,0.20
1926,Illinois,0.25,0.52,0.77,0.74
1926,Indiana,0.24,0.49,0.72,0.78
1926,Iowa,0.16,0.42,0.60,0.43
1926,Kansas,0.16,0.43,0.60,0.42
1926,Kentucky,0.18,0.46,0.67,0.47
1926,Louisiana,0.17,0.44,0.62,0.43
1926,Maine,0.26,0.53,0.78,0.82
1926,Maryland,0.25,0.52,0.75,0.71
1926,Massachusetts,0.27,0.54,0.81,0.79
1926,Michigan,0.27,0.53,0.79,0.89
1926,Minnesota,0.21,0.48,0.70,0.57
1926,Mississippi,0.15,0.41,0.58,0.36
1926,Missouri,0.23,0.50,0.74,0.64
1926,Montana,0.13,0.38,0.54,0.31
1926,Nebraska,0.14,0.40,0.55,0.33
1926,Nevada,0.13,0.37,0.55,0.34
1926,New Hampshire,0.20,0.47,0.69,0.53
1926,New Jersey,0.24,0.51,0.75,0.69
1926,New Mexico,0.13,0.38,0.53,0.31
1926,New York,0.32,0.58,0.89,1.04
1926,North Carolina,0.21,0.48,0.69,0.61
1926,North Dakota,0.12,0.37,0.52,0.26
1926,Ohio,0.24,0.51,0.76,0.74
1926,Oklahoma,0.24,0.50,0.73,0.81
1926,Oregon,0.17,0.43,0.62,0.46
1926,Pennsylvania,0.27,0.53,0.79,0.89
1926,Rhode Island,0.27,0.55,0.82,0.77
1926,South Carolina,0.13,0.38,0.53,0.30
1926,South Dakota,0.12,0.36,0.50,0.27
1926,Tennessee,0.20,0.47,0.68,0.52
1926,Texas,0.19,0.45,0.64,0.56
1926,Utah,0.17,0.43,0.62,0.41
1926,Vermont,0.19,0.46,0.66,0.50
1926,Virginia,0.19,0.46,0.66,0.52
1926,Washington,0.13,0.38,0.53,0.34
1926,West Virginia,0.18,0.44,0.63,0.48
1926,Wisconsin,0.21,0.48,0.69,0.62
1926,Wyoming,0.13,0.38,0.54,0.30
1927,United States,0.27,0.54,0.80,0.86
1927,Alabama,0.18,0.45,0.65,0.46
1927,Arizona,0.16,0.42,0.60,0.42
1927,Arkansas,0.18,0.44,0.62,0.49
1927,California,0.24,0.51,0.75,0.69
1927,Colorado,0.21,0.48,0.69,0.58
1927,Connecticut,0.28,0.56,0.85,0.80
1927,Delaware,0.49,0.73,1.19,1.80
1927,District of Columbia,0.24,0.51,0.75,0.73
1927,Florida,0.24,0.50,0.73,0.72
1927,Georgia,0.20,0.47,0.68,0.54
1927,Idaho,0.10,0.33,0.46,0.23
1927,Illinois,0.26,0.53,0.79,0.82
1927,Indiana,0.22,0.49,0.71,0.67
1927,Iowa,0.17,0.42,0.59,0.48
1927,Kansas,0.15,0.41,0.58,0.38
1927,Kentucky,0.21,0.49,0.71,0.56
1927,Louisiana,0.18,0.45,0.63,0.46
1927,Maine,0.26,0.53,0.79,0.76
1927,Maryland,0.27,0.54,0.80,0.85
1927,Massachusetts,0.29,0.57,0.87,0.85
1927,Michigan,0.27,0.52,0.78,0.89
1927,Minnesota,0.23,0.50,0.74,0.64
1927,Mississippi,0.16,0.43,0.61,0.40
1927,Missouri,0.24,0.51,0.76,0.68
1927,Montana,0.14,0.39,0.56,0.38
1927,Nebraska,0.15,0.41,0.58,0.36
1927,Nevada,0.14,0.39,0.56,0.36
1927,New Hampshire,0.24,0.51,0.75,0.68
1927,New Jersey,0.26,0.52,0.78,0.81
1927,New Mexico,0.13,0.39,0.56,0.31
1927,New York,0.35,0.62,0.95,1.18
1927,North Carolina,0.25,0.51,0.75,0.76
1927,North Dakota,0.12,0.37,0.53,0.27
1927,Ohio,0.25,0.52,0.78,0.76
1927,Oklahoma,0.22,0.49,0.71,0.62
1927,Oregon,0.15,0.41,0.59,0.39
1927,Pennsylvania,0.28,0.55,0.82,0.89
1927,Rhode Island,0.29,0.57,0.86,0.83
1927,South Carolina,0.15,0.42,0.59,0.37
1927,South Dakota,0.12,0.37,0.52,0.27
1927,Tennessee,0.21,0.48,0.71,0.57
1927,Texas,0.19,0.45,0.63,0.52
1927,Utah,0.20,0.47,0.67,0.54
1927,Vermont,0.19,0.46,0.66,0.50
1927,Virginia,0.20,0.48,0.69,0.55
1927,Washington,0.13,0.38,0.53,0.34
1927,West Virginia,0.20,0.47,0.68,0.53
1927,Wisconsin,0.23,0.50,0.73,0.73
1927,Wyoming,0.13,0.38,0.55,0.31
1928,United States,0.31,0.57,0.86,1.03
1928,Alabama,0.25,0.51,0.74,0.87
1928,Arizona,0.22,0.48,0.70,0.68
1928,Arkansas,0.15,0.42,0.58,0.38
1928,California,0.27,0.54,0.81,0.81
1928,Colorado,0.23,0.50,0.73,0.67
1928,Connecticut,0.31,0.59,0.90,0.95
1928,Delaware,0.51,0.75,1.22,1.87
1928,District of Columbia,0.25,0.52,0.77,0.73
1928,Florida,0.31,0.57,0.84,1.08
1928,Georgia,0.21,0.48,0.69,0.56
1928,Idaho,0.10,0.34,0.48,0.24
1928,Illinois,0.30,0.56,0.85,1.01
1928,Indiana,0.23,0.49,0.72,0.69
1928,Iowa,0.23,0.48,0.69,0.91
1928,Kansas,0.16,0.43,0.61,0.43
1928,Kentucky,0.24,0.51,0.76,0.68
1928,Louisiana,0.20,0.47,0.66,0.54
1928,Maine,0.28,0.55,0.82,0.86
1928,Maryland,0.27,0.55,0.81,0.82
1928,Massachusetts,0.31,0.59,0.89,0.97
1928,Michigan,0.32,0.58,0.88,1.11
